Tree ID,Day,Hour,Total Sunlight Collected over Day,Sunlight Collected,Total Cell Count,Branch Cell Count,Leaf Cell Count,Width of Tree,Height of Tree,Sunlight over Total Cells,Sunlight over Total Leaf Cells,Age,Growth Iterations,Fitness
Plant 0_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 1_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 2_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 3_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 4_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 5_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 6_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 8_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 9_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 10_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 11_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 12_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 13_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 14_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 15_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 16_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 17_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 18_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 19_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 20_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 21_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 22_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 23_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 24_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 25_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 26_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 27_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 28_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 29_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 30_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 31_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 32_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 33_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 34_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 35_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 36_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 37_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 38_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 39_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 40_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 41_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 42_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 43_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 44_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 45_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 46_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 47_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 48_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 49_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 50_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 51_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 52_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 53_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 54_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 55_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 56_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 57_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 58_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 59_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
